ticker,data_type,status,rows,start_date,end_date,missing_values,missing_required_fields,error
REL.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
REL.L,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
REL.L,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
REL.L,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
REL.L,metadata,success,,,,,[],
EXPN.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
EXPN.L,balance_sheet,success,4.0,2023-03-31 00:00:00,2026-03-31 00:00:00,0.0,[],
EXPN.L,cash_flow,success,4.0,2023-03-31 00:00:00,2026-03-31 00:00:00,0.0,[],
EXPN.L,income_statement,success,5.0,2022-03-31 00:00:00,2026-03-31 00:00:00,10.0,[],
EXPN.L,metadata,success,,,,,[],
AUTO.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
AUTO.L,balance_sheet,success,4.0,2023-03-31 00:00:00,2026-03-31 00:00:00,0.0,[],
AUTO.L,cash_flow,success,4.0,2023-03-31 00:00:00,2026-03-31 00:00:00,0.0,[],
AUTO.L,income_statement,success,5.0,2022-03-31 00:00:00,2026-03-31 00:00:00,12.0,[],
AUTO.L,metadata,success,,,,,[],
RMV.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
RMV.L,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,"['Current Debt', 'Long Term Debt']",
RMV.L,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
RMV.L,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,['Gross Profit'],
RMV.L,metadata,success,,,,,[],
RM.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
RM.L,balance_sheet,success,4.0,2022-11-30 00:00:00,2025-11-30 00:00:00,0.0,[],
RM.L,cash_flow,success,4.0,2022-11-30 00:00:00,2025-11-30 00:00:00,0.0,[],
RM.L,income_statement,success,4.0,2022-11-30 00:00:00,2025-11-30 00:00:00,0.0,[],
RM.L,metadata,success,,,,,[],
FUTR.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
FUTR.L,balance_sheet,success,4.0,2022-09-30 00:00:00,2025-09-30 00:00:00,0.0,[],
FUTR.L,cash_flow,success,4.0,2022-09-30 00:00:00,2025-09-30 00:00:00,0.0,[],
FUTR.L,income_statement,success,4.0,2022-09-30 00:00:00,2025-09-30 00:00:00,0.0,[],
FUTR.L,metadata,success,,,,,[],
SPGI,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
SPGI,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
SPGI,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
SPGI,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
SPGI,metadata,success,,,,,[],
MCO,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
MCO,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,3.0,[],
MCO,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
MCO,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
MCO,metadata,success,,,,,[],
MSCI,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
MSCI,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,2.0,[],
MSCI,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
MSCI,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
MSCI,metadata,success,,,,,[],
VRSK,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
VRSK,balance_sheet,success,5.0,2021-12-31 00:00:00,2025-12-31 00:00:00,7.0,[],
VRSK,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
VRSK,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
VRSK,metadata,success,,,,,[],
EFX,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
EFX,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
EFX,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
EFX,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
EFX,metadata,success,,,,,[],
FDS,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
FDS,balance_sheet,success,4.0,2022-08-31 00:00:00,2025-08-31 00:00:00,3.0,[],
FDS,cash_flow,success,4.0,2022-08-31 00:00:00,2025-08-31 00:00:00,0.0,[],
FDS,income_statement,success,4.0,2022-08-31 00:00:00,2025-08-31 00:00:00,0.0,[],
FDS,metadata,success,,,,,[],
IT,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
IT,balance_sheet,success,5.0,2021-12-31 00:00:00,2025-12-31 00:00:00,7.0,[],
IT,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
IT,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
IT,metadata,success,,,,,[],
TRU,prices,success,1002.0,2022-01-03 00:00:00-05:00,2025-12-30 00:00:00-05:00,0.0,,
TRU,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
TRU,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
TRU,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
TRU,metadata,success,,,,,[],
SGE.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
SGE.L,balance_sheet,success,5.0,2021-09-30 00:00:00,2025-09-30 00:00:00,8.0,[],
SGE.L,cash_flow,success,4.0,2022-09-30 00:00:00,2025-09-30 00:00:00,0.0,[],
SGE.L,income_statement,success,4.0,2022-09-30 00:00:00,2025-09-30 00:00:00,0.0,[],
SGE.L,metadata,success,,,,,[],
SCT.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
SCT.L,balance_sheet,success,3.0,2022-07-31 00:00:00,2024-07-31 00:00:00,0.0,"['Current Debt', 'Long Term Debt']",
SCT.L,cash_flow,success,3.0,2022-07-31 00:00:00,2024-07-31 00:00:00,0.0,[],
SCT.L,income_statement,success,3.0,2022-07-31 00:00:00,2024-07-31 00:00:00,0.0,[],
SCT.L,metadata,success,,,,,[],
CCC.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
CCC.L,balance_sheet,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
CCC.L,cash_flow,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
CCC.L,income_statement,success,4.0,2022-12-31 00:00:00,2025-12-31 00:00:00,0.0,[],
CCC.L,metadata,success,,,,,[],
BYIT.L,prices,success,1006.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
BYIT.L,balance_sheet,success,4.0,2023-02-28 00:00:00,2026-02-28 00:00:00,0.0,"['Current Debt', 'Long Term Debt']",
BYIT.L,cash_flow,success,4.0,2023-02-28 00:00:00,2026-02-28 00:00:00,0.0,[],
BYIT.L,income_statement,success,4.0,2023-02-28 00:00:00,2026-02-28 00:00:00,0.0,[],
BYIT.L,metadata,success,,,,,[],
NCC.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
NCC.L,balance_sheet,success,3.0,2022-05-31 00:00:00,2025-09-30 00:00:00,0.0,[],
NCC.L,cash_flow,success,3.0,2022-05-31 00:00:00,2025-09-30 00:00:00,0.0,[],
NCC.L,income_statement,success,4.0,2022-05-31 00:00:00,2025-09-30 00:00:00,9.0,[],
NCC.L,metadata,success,,,,,[],
TRST.L,prices,success,1007.0,2022-01-04 00:00:00+00:00,2025-12-30 00:00:00+00:00,0.0,,
TRST.L,balance_sheet,success,5.0,2021-12-31 00:00:00,2025-12-31 00:00:00,13.0,[],
