,2025-08-31,2024-08-31,2023-09-30,2023-08-31
Total Revenue,19459000000.0,20073000000.0,19750000000.0,19750000000.0
Gross Profit,4655000000.0,4882000000.0,4163000000.0,4163000000.0
Operating Income,1577000000.0,1834000000.0,1340000000.0,1340000000.0
EBIT,1666000000.0,2183000000.0,1590000000.0,1590000000.0
EBITDA,2654000000.0,3132000000.0,2476000000.0,2476000000.0
Pretax Income,1413000000.0,1917000000.0,1340000000.0,1340000000.0
Net Income,1025000000.0,1455000000.0,1044000000.0,1044000000.0
Diluted EPS,1.416,1.937,1.341902,1.342
Interest Expense,253000000.0,266000000.0,250000000.0,250000000.0
Tax Provision,368000000.0,437000000.0,272000000.0,272000000.0
