,2025-11-30,2024-11-30,2023-11-30,2022-11-30
Total Revenue,23769000000.0,21505000000.0,19409000000.0,17606000000.0
Gross Profit,21218000000.0,19147000000.0,17055000000.0,15441000000.0
Operating Income,8706000000.0,7741000000.0,6650000000.0,6098000000.0
EBIT,8997000000.0,7100000000.0,6912000000.0,6120000000.0
EBITDA,9815000000.0,7957000000.0,7784000000.0,6976000000.0
Pretax Income,8734000000.0,6931000000.0,6799000000.0,6008000000.0
Net Income,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Diluted EPS,16.7,12.36,11.82,10.1
Interest Expense,263000000.0,169000000.0,113000000.0,112000000.0
Tax Provision,1604000000.0,1371000000.0,1371000000.0,1252000000.0
