,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,21947400000.0,20560900000.0,19202600000.0,18012200000.0,
Gross Profit,10187200000.0,9463600000.0,8725900000.0,8058800000.0,
Operating Income,5779000000.0,5411900000.0,4947000000.0,4507400000.0,
EBIT,6189600000.0,5766000000.0,5233700000.0,4690900000.0,
EBITDA,6775500000.0,6348400000.0,5795600000.0,5240200000.0,
Pretax Income,5730300000.0,5310100000.0,4872300000.0,4437600000.0,
Net Income,4413500000.0,4079700000.0,3752000000.0,3412000000.0,
Diluted EPS,,9.98,9.1,8.21,7.0
Interest Expense,459300000.0,455900000.0,361400000.0,253300000.0,
Tax Provision,1316800000.0,1230400000.0,1120300000.0,1025600000.0,
