,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Total Revenue,7206000000.0,6131000000.0,5497000000.0,5005000000.0
Gross Profit,6556000000.0,5553000000.0,4986000000.0,4525000000.0
Operating Income,1794000000.0,1369000000.0,1128000000.0,989000000.0
EBIT,1794000000.0,1369000000.0,1128000000.0,1017000000.0
EBITDA,1989000000.0,1549000000.0,1267000000.0,1167000000.0
Pretax Income,1603000000.0,1384000000.0,1136000000.0,946000000.0
Net Income,1124000000.0,1112000000.0,906000000.0,823000000.0
Diluted EPS,5.23,5.12,4.19,3.78
Interest Expense,,,,71000000.0
Tax Provision,479000000.0,272000000.0,230000000.0,123000000.0
