,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Total Revenue,4966686000.0,4563424000.0,4479406000.0,4412794000.0
Gross Profit,1506785000.0,1383159000.0,1336653000.0,1286965000.0
Operating Income,549469000.0,498529000.0,495823000.0,473151000.0
EBIT,561660000.0,519181000.0,518674000.0,474601000.0
EBITDA,627607000.0,579661000.0,571028000.0,527672000.0
Pretax Income,544274000.0,500967000.0,498130000.0,449811000.0
Net Income,414525000.0,392988000.0,385762000.0,346739000.0
Diluted EPS,10.95,,9.83,8.84
Interest Expense,17386000.0,18214000.0,20544000.0,24790000.0
Tax Provision,129749000.0,107979000.0,112368000.0,103072000.0
