,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,7401116000.0,6941180000.0,6596950000.0,6150530000.0
Gross Profit,2667439000.0,2476467000.0,2384465000.0,2145269000.0
Operating Income,1910317000.0,1779562000.0,1707459000.0,1500692000.0
EBIT,1879593000.0,1774501000.0,1688207000.0,1511878000.0
EBITDA,2302397000.0,2157428000.0,2025843000.0,1831305000.0
Pretax Income,1798339000.0,1661539000.0,1606412000.0,1428692000.0
Net Income,1480142000.0,1376124000.0,1313188000.0,1159542000.0
Diluted EPS,6.4,5.93,5.67,5.01
Interest Expense,81254000.0,112962000.0,81795000.0,83186000.0
Tax Provision,318197000.0,285415000.0,293224000.0,269150000.0
