,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,228936000.0,177521000.0,126210000.0,124330000.0
Gross Profit,122138000.0,92618000.0,70140000.0,73416000.0
Operating Income,28467000.0,22143000.0,18882000.0,24890000.0
EBIT,22586000.0,13225000.0,21541000.0,26276000.0
EBITDA,43983000.0,29527000.0,32329000.0,35120000.0
Pretax Income,17783000.0,9823000.0,21157000.0,25910000.0
Net Income,9954000.0,7094000.0,15889000.0,20406000.0
Diluted EPS,0.0452,0.0325,0.0725,0.093
Interest Expense,4803000.0,3402000.0,384000.0,366000.0
Tax Provision,7688000.0,2681000.0,5268000.0,5504000.0
