,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,624300000.0,601100000.0,570900000.0,500200000.0
Gross Profit,,,439200000.0,361200000.0
Operating Income,388600000.0,373200000.0,345900000.0,275100000.0
EBIT,393600000.0,377200000.0,348600000.0,296400000.0
EBITDA,417000000.0,397900000.0,366900000.0,310500000.0
Pretax Income,388800000.0,375700000.0,345200000.0,293600000.0
Net Income,293900000.0,282600000.0,256900000.0,233900000.0
Diluted EPS,,,0.2807,0.2477
Interest Expense,4800000.0,1500000.0,3400000.0,2800000.0
Tax Provision,94900000.0,93100000.0,88300000.0,59700000.0
