,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,25610000000.0,25867000000.0,27283000000.0,27655000000.0
Gross Profit,21384000000.0,21431000000.0,22642000000.0,23101000000.0
Operating Income,11659000000.0,10633000000.0,-8533000000.0,14279000000.0
EBIT,11786000000.0,5360000000.0,-15174000000.0,10987000000.0
EBITDA,14056000000.0,8422000000.0,8826000000.0,12292000000.0
Pretax Income,9859000000.0,3538000000.0,-17061000000.0,9324000000.0
Net Income,7764000000.0,3068000000.0,-14367000000.0,6666000000.0
Diluted EPS,3.491,1.36,-6.466,2.919
Interest Expense,1927000000.0,1822000000.0,1887000000.0,1663000000.0
Tax Provision,2094000000.0,357000000.0,-2872000000.0,2478000000.0
