,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,21840000000.0,20178000000.0,19372000000.0,18870000000.0
Gross Profit,9925000000.0,9125000000.0,8170000000.0,8477000000.0
Operating Income,2986000000.0,2856000000.0,2424000000.0,2475000000.0
EBIT,2494000000.0,2533000000.0,2114000000.0,2181000000.0
EBITDA,4956000000.0,4819000000.0,4402000000.0,4410000000.0
Pretax Income,1881000000.0,2005000000.0,1662000000.0,1783000000.0
Net Income,1678000000.0,1705000000.0,1484000000.0,1779000000.0
Diluted EPS,5.82,5.93,4.94,5.88
Interest Expense,613000000.0,528000000.0,452000000.0,398000000.0
Tax Provision,203000000.0,300000000.0,132000000.0,148000000.0
