,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,11845400000.0,11776400000.0,11797100000.0,12039500000.0
Gross Profit,3417700000.0,3392600000.0,3187900000.0,3024500000.0
Operating Income,758300000.0,820800000.0,806900000.0,757600000.0
EBIT,797600000.0,844900000.0,839100000.0,718100000.0
EBITDA,1202300000.0,1229000000.0,1181900000.0,1036000000.0
Pretax Income,620500000.0,673600000.0,698600000.0,634600000.0
Net Income,459200000.0,500400000.0,526200000.0,474400000.0
Diluted EPS,1.409,1.487,1.56,1.407
Interest Expense,177100000.0,171300000.0,140500000.0,83500000.0
Tax Provision,160700000.0,172600000.0,172400000.0,160200000.0
