,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Total Revenue,1177253000.0,1090130000.0,1037741000.0,990874000.0
Gross Profit,932606000.0,862025000.0,777129000.0,738318000.0
Operating Income,83189000.0,79634000.0,50753000.0,36840000.0
EBIT,109427000.0,91235000.0,66427000.0,39279000.0
EBITDA,142335000.0,113338000.0,117668000.0,105267000.0
Pretax Income,98729000.0,85160000.0,62586000.0,34407000.0
Net Income,115383000.0,244621000.0,129032000.0,26783000.0
Diluted EPS,0.58,1.36,0.67,0.06
Interest Expense,10698000.0,6075000.0,3841000.0,4872000.0
Tax Provision,-16654000.0,-159461000.0,-66446000.0,7624000.0
