,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,727100000.0,757100000.0,802500000.0,743600000.0
Gross Profit,100100000.0,109300000.0,108100000.0,97400000.0
Operating Income,105900000.0,118600000.0,119400000.0,102100000.0
EBIT,81200000.0,35300000.0,117100000.0,99500000.0
EBITDA,161700000.0,121000000.0,199200000.0,183800000.0
Pretax Income,74500000.0,28400000.0,111700000.0,95300000.0
Net Income,54900000.0,20000000.0,85600000.0,73700000.0
Diluted EPS,0.31,0.107,0.448,0.385
Interest Expense,6700000.0,6900000.0,5400000.0,4200000.0
Tax Provision,19100000.0,7700000.0,24900000.0,21000000.0
