,2026-02-28,2025-02-28,2024-02-29,2023-02-28
Total Revenue,220562000.0,217134000.0,207021000.0,184421000.0
Gross Profit,167311000.0,163254000.0,145778000.0,129573000.0
Operating Income,62732000.0,66426000.0,56712000.0,50883000.0
EBIT,70151000.0,74904000.0,61989000.0,50883000.0
EBITDA,73261000.0,77548000.0,64368000.0,53363000.0
Pretax Income,69832000.0,74613000.0,61596000.0,50392000.0
Net Income,51282000.0,54841000.0,46851000.0,40421000.0
Diluted EPS,0.2074,0.2195,0.1885,0.1628
Interest Expense,319000.0,291000.0,393000.0,491000.0
Tax Provision,18550000.0,19772000.0,14745000.0,9971000.0
