,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,9193900000.0,6964800000.0,6922800000.0,6470500000.0
Gross Profit,1144100000.0,1035000000.0,1044000000.0,947100000.0
Operating Income,264600000.0,236100000.0,260700000.0,256400000.0
EBIT,252600000.0,251800000.0,279100000.0,256800000.0
EBITDA,340200000.0,333100000.0,359800000.0,347700000.0
Pretax Income,238500000.0,244600000.0,272100000.0,249000000.0
Net Income,153700000.0,170800000.0,197600000.0,182800000.0
Diluted EPS,1.455,1.529,1.732,1.591
Interest Expense,14100000.0,7200000.0,7000000.0,7800000.0
Tax Provision,81400000.0,72700000.0,72700000.0,64800000.0
