,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,5296759000.0,4641264000.0,4089986000.0,3561718000.0
Gross Profit,4574510000.0,3993762000.0,3654945000.0,3190095000.0
Operating Income,1649781000.0,1382850000.0,1262238000.0,1073741000.0
EBIT,1638584000.0,1471818000.0,1318111000.0,1068297000.0
EBITDA,1872428000.0,1666833000.0,1463854000.0,1203727000.0
Pretax Income,1522043000.0,1395819000.0,1281926000.0,1045363000.0
Net Income,1108888000.0,1055484000.0,1041144000.0,848952000.0
Diluted EPS,4.06,3.85,3.82,3.09
Interest Expense,116541000.0,75999000.0,36185000.0,22934000.0
Tax Provision,413155000.0,340335000.0,240782000.0,196411000.0
