,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6203200000.0,6107100000.0,5867900000.0,5375600000.0
Gross Profit,2774800000.0,2790100000.0,2588500000.0,2250000000.0
Operating Income,1077600000.0,1164200000.0,1057400000.0,1008800000.0
EBIT,1052100000.0,851300000.0,1078300000.0,612900000.0
EBITDA,1299500000.0,1090400000.0,1303500000.0,831900000.0
Pretax Income,956900000.0,756300000.0,967400000.0,523300000.0
Net Income,736800000.0,585300000.0,755600000.0,413900000.0
Diluted EPS,3.02,2.37,3.05,1.68
Interest Expense,95200000.0,95000000.0,110900000.0,89600000.0
Tax Provision,220100000.0,171000000.0,211800000.0,109400000.0
