,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,20382000000.0,20101000000.0,19457000000.0,17967000000.0
Gross Profit,12251000000.0,12161000000.0,11326000000.0,10248000000.0
Operating Income,4233000000.0,4330000000.0,4085000000.0,3617000000.0
EBIT,3326000000.0,4248000000.0,3679000000.0,2827000000.0
EBITDA,3956000000.0,4853000000.0,4246000000.0,3372000000.0
Pretax Income,3059000000.0,3956000000.0,3392000000.0,2660000000.0
Net Income,2132000000.0,2889000000.0,2300000000.0,1785000000.0
Diluted EPS,2.63,3.51,2.77,2.13
Interest Expense,267000000.0,292000000.0,287000000.0,167000000.0
Tax Provision,798000000.0,907000000.0,937000000.0,693000000.0
