,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6030837000.0,5889952000.0,5409152000.0,5166605000.0
Gross Profit,1886238000.0,1824239000.0,1663028000.0,1622675000.0
Operating Income,673372000.0,670232000.0,612439000.0,634747000.0
EBIT,696820000.0,687844000.0,623804000.0,650268000.0
EBITDA,1142826000.0,1088766000.0,989565000.0,997862000.0
Pretax Income,527967000.0,533443000.0,503279000.0,537998000.0
Net Income,390974000.0,402299000.0,377856000.0,411744000.0
Diluted EPS,7.28,7.42,6.95,7.56
Interest Expense,168853000.0,154401000.0,120525000.0,112270000.0
Tax Provision,136993000.0,131144000.0,125423000.0,126254000.0
