,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6520600000.0,6130100000.0,5578900000.0,5019400000.0
Gross Profit,5613600000.0,5279800000.0,4750300000.0,4266300000.0
Operating Income,4229500000.0,3931500000.0,3435700000.0,3015900000.0
EBIT,5503900000.0,4702300000.0,4313000000.0,3653000000.0
EBITDA,5834800000.0,5039100000.0,4665600000.0,4015600000.0
Pretax Income,5330500000.0,4541400000.0,4153600000.0,3490300000.0
Net Income,4072200000.0,3525800000.0,3226200000.0,2691000000.0
Diluted EPS,11.16,9.67,8.86,7.4
Interest Expense,173400000.0,160900000.0,159400000.0,162700000.0
Tax Provision,1258300000.0,1015600000.0,927400000.0,799300000.0
