,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4528403000.0,3974589000.0,3757719000.0,3427129000.0
Gross Profit,3559226000.0,3105504000.0,2937811000.0,2662422000.0
Operating Income,1951847000.0,1755847000.0,1656873000.0,1446641000.0
EBIT,1945527000.0,1768156000.0,1673612000.0,1440322000.0
EBITDA,2338830000.0,2119244000.0,2010216000.0,1762604000.0
Pretax Income,1541679000.0,1385113000.0,1325005000.0,1275660000.0
Net Income,1069826000.0,1003746000.0,981890000.0,954327000.0
Diluted EPS,15.03,13.97,13.2,12.42
Interest Expense,403848000.0,383043000.0,348607000.0,164662000.0
Tax Provision,469731000.0,381381000.0,343115000.0,321333000.0
