,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,46070000000.0,42002000000.0,37907000000.0,28489112227.805695
Gross Profit,15393000000.0,13926000000.0,12340000000.0,9264098269.123396
Operating Income,3295000000.0,2948000000.0,2568000000.0,1767727526.521496
EBIT,2962000000.0,2361000000.0,2358000000.0,1777777777.777778
EBITDA,4152000000.0,3411000000.0,3310000000.0,2592964824.120603
Pretax Income,2584000000.0,2056000000.0,2137000000.0,1640424343.941932
Net Income,1868000000.0,1404000000.0,1607000000.0,1242881072.026801
Diluted EPS,1.099,0.822,0.91873,0.699051
Interest Expense,378000000.0,305000000.0,221000000.0,137353433.835846
Tax Provision,704000000.0,642000000.0,525000000.0,393076493.579006
