,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1699400000.0,1628100000.0,1694500000.0,2089300000.0
Gross Profit,745700000.0,733900000.0,730000000.0,985600000.0
Operating Income,259600000.0,242500000.0,247500000.0,444700000.0
EBIT,119200000.0,238700000.0,262200000.0,805700000.0
EBITDA,256200000.0,374500000.0,388400000.0,926400000.0
Pretax Income,91000000.0,207800000.0,236300000.0,780000000.0
Net Income,62000000.0,158500000.0,171000000.0,649300000.0
Diluted EPS,0.444,1.135,1.223,4.648
Interest Expense,28200000.0,30900000.0,25900000.0,25700000.0
Tax Provision,26300000.0,48200000.0,64200000.0,126700000.0
