,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4015382000.0,4049989000.0,4129409000.0,3976060000.0
Gross Profit,1323275000.0,1331821000.0,1502556000.0,1462651000.0
Operating Income,401136000.0,442347000.0,617261000.0,650975000.0
EBIT,7526000.0,219402000.0,717994000.0,682278000.0
EBITDA,410838000.0,581143000.0,1032118000.0,986148000.0
Pretax Income,-99503000.0,93114000.0,581284000.0,622987000.0
Net Income,-144338000.0,10297000.0,474624000.0,486226000.0
Diluted EPS,-2.91,0.2,9.22,9.48
Interest Expense,107029000.0,126288000.0,136710000.0,59291000.0
Tax Provision,42660000.0,67823000.0,100914000.0,130379000.0
