,2026-05-31,2025-05-31,2024-05-31,2023-05-31
Total Revenue,11264761000.0,10340181000.0,9596615000.0,8815769000.0
Gross Profit,5707793000.0,5174164000.0,4686416000.0,4173368000.0
Operating Income,2621648000.0,2359726000.0,2068633000.0,1802664000.0
EBIT,2611619000.0,2365310000.0,2074375000.0,1804380000.0
EBITDA,3124465000.0,2859493000.0,2531245000.0,2223724000.0
Pretax Income,2505334000.0,2264202000.0,1973635000.0,1693148000.0
Net Income,1999968000.0,1812281000.0,1571592000.0,1348010000.0
Diluted EPS,4.91,4.4,3.7875,3.2475
Interest Expense,106285000.0,101108000.0,100740000.0,111232000.0
Tax Provision,505366000.0,451921000.0,402043000.0,345138000.0
