,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2439000000.0,2289000000.0,2142400000.0,2072500000.0
Gross Profit,1371000000.0,1284000000.0,1200600000.0,1103900000.0
Operating Income,386000000.0,332000000.0,265200000.0,221100000.0
EBIT,292000000.0,320000000.0,240700000.0,131000000.0
EBITDA,516000000.0,541000000.0,455500000.0,340200000.0
Pretax Income,230000000.0,246000000.0,167400000.0,81900000.0
Net Income,175000000.0,191000000.0,130300000.0,62900000.0
Diluted EPS,0.086,0.093,0.063,0.031
Interest Expense,62000000.0,74000000.0,73300000.0,49100000.0
Tax Provision,55000000.0,55000000.0,37100000.0,19000000.0
