,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1836841000.0,1557283000.0,1264542000.0,1085089000.0
Gross Profit,620236000.0,529947000.0,432504000.0,361972000.0
Operating Income,89182000.0,106025000.0,102082000.0,101443000.0
EBIT,72573000.0,80499000.0,81661000.0,98688000.0
EBITDA,379408000.0,315406000.0,252366000.0,225039000.0
Pretax Income,13052000.0,21048000.0,37045000.0,74966000.0
Net Income,7871000.0,13536000.0,25399000.0,53079000.0
Diluted EPS,0.12,0.23,0.46,1.03
Interest Expense,59521000.0,59451000.0,44616000.0,23722000.0
Tax Provision,5181000.0,7512000.0,11646000.0,21887000.0
