,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2521000000.0,2548200000.0,2501600000.0,2324900000.0
Gross Profit,2020200000.0,2103100000.0,2023100000.0,1880700000.0
Operating Income,687800000.0,486300000.0,383500000.0,356500000.0
EBIT,696200000.0,486300000.0,383500000.0,356500000.0
EBITDA,853600000.0,623600000.0,553500000.0,513600000.0
Pretax Income,617600000.0,509800000.0,554400000.0,192700000.0
Net Income,508400000.0,452300000.0,453600000.0,553200000.0
Diluted EPS,1.86,1.4,1.31,1.52
Interest Expense,78600000.0,,,
Tax Provision,109200000.0,57500000.0,100800000.0,-360500000.0
