,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,15441862000.0,15904204000.0,18854051000.0,22204846000.0
Gross Profit,2361997000.0,2221664000.0,2340782000.0,2404732000.0
Operating Income,532941000.0,504543000.0,473731000.0,511246000.0
EBIT,476631000.0,486550000.0,466659000.0,526621000.0
EBITDA,825021000.0,858625000.0,820928000.0,857448000.0
Pretax Income,374118000.0,381203000.0,359213000.0,431564000.0
Net Income,13358000.0,206490000.0,326255000.0,334022000.0
Diluted EPS,0.1412,2.0844,3.2985,3.3804
Interest Expense,102513000.0,105347000.0,107446000.0,95057000.0
Tax Provision,87154000.0,74177000.0,71667000.0,84762000.0
