,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,20245000000.0,20269000000.0,20555000000.0,20516000000.0
Gross Profit,12173000000.0,12198000000.0,12266000000.0,12593000000.0
Operating Income,4335000000.0,6001000000.0,5547000000.0,5897000000.0
EBIT,4641000000.0,6594000000.0,6593000000.0,7025000000.0
EBITDA,6359000000.0,7087000000.0,7890000000.0,8089000000.0
Pretax Income,3537000000.0,5460000000.0,5642000000.0,5808000000.0
Net Income,2354000000.0,3870000000.0,4445000000.0,4280000000.0
Diluted EPS,1.057,1.728,2.073585,1.694401
Interest Expense,1104000000.0,1134000000.0,951000000.0,1217000000.0
Tax Provision,999000000.0,1294000000.0,1163000000.0,1398000000.0
