,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,24568000000.0,23875000000.0,23890000000.0,26643000000.0
Gross Profit,14523000000.0,14206000000.0,14034000000.0,16188000000.0
Operating Income,4690000000.0,4863000000.0,5202000000.0,7536000000.0
EBIT,4498000000.0,4924000000.0,5330000000.0,7350000000.0
EBITDA,6945000000.0,7276000000.0,7496000000.0,9482000000.0
Pretax Income,4233000000.0,4646000000.0,5044000000.0,7146000000.0
Net Income,3614000000.0,3899000000.0,4764000000.0,7209000000.0
Diluted EPS,5.05,5.29,6.38,9.66
Interest Expense,265000000.0,278000000.0,286000000.0,204000000.0
Tax Provision,633000000.0,747000000.0,823000000.0,818000000.0
