,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,8092571000.0,7745909000.0,7684476000.0,7844174000.0
Gross Profit,3218169000.0,2958621000.0,2867544000.0,2904953000.0
Operating Income,1373361000.0,1206355000.0,1219340000.0,1279641000.0
EBIT,1484024000.0,1888187000.0,1254304000.0,1306659000.0
EBITDA,1863601000.0,2226029000.0,1559350000.0,1602319000.0
Pretax Income,1374252000.0,1757016000.0,1123000000.0,1190203000.0
Net Income,1093956000.0,2697126000.0,1056828000.0,1065376000.0
Diluted EPS,7.94,19.45,7.52,7.42
Interest Expense,109772000.0,131171000.0,131304000.0,116456000.0
Tax Provision,276823000.0,357048000.0,179136000.0,200291000.0
