,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,1524500000.0,1363400000.0,1200300000.0,1012800000.0
Gross Profit,706100000.0,628900000.0,542300000.0,144300000.0
Operating Income,284900000.0,206800000.0,185800000.0,144300000.0
EBIT,274000000.0,202700000.0,175000000.0,140400000.0
EBITDA,366200000.0,294300000.0,256500000.0,164300000.0
Pretax Income,248300000.0,176600000.0,155600000.0,129500000.0
Net Income,184900000.0,129300000.0,117700000.0,94700000.0
Diluted EPS,1.373,0.961,0.904,0.759
Interest Expense,25700000.0,26100000.0,19400000.0,10900000.0
Tax Provision,62800000.0,46600000.0,37300000.0,34100000.0
