,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6074500000.0,5681100000.0,5265200000.0,5122200000.0
Gross Profit,3428900000.0,3162400000.0,2930100000.0,2945000000.0
Operating Income,1095200000.0,1042100000.0,933600000.0,1056000000.0
EBIT,1107200000.0,1039600000.0,959300000.0,1112700000.0
EBITDA,1834100000.0,1720200000.0,1579100000.0,1681300000.0
Pretax Income,894900000.0,810500000.0,717900000.0,929700000.0
Net Income,660300000.0,604100000.0,545300000.0,696200000.0
Diluted EPS,5.32,4.84,4.4,5.65
Interest Expense,212300000.0,229100000.0,241400000.0,183000000.0
Tax Provision,230600000.0,203200000.0,166200000.0,229500000.0
