,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,8445000000.0,7523000000.0,7097000000.0,6619000000.0
Gross Profit,4685000000.0,3599000000.0,3948000000.0,3168000000.0
Operating Income,2045000000.0,1793000000.0,1694000000.0,1265000000.0
EBIT,2178000000.0,1726000000.0,1703000000.0,1311000000.0
EBITDA,3054000000.0,2484000000.0,2417000000.0,1985000000.0
Pretax Income,1951000000.0,1549000000.0,1551000000.0,1174000000.0
Net Income,1502000000.0,1166000000.0,1199000000.0,770000000.0
Diluted EPS,,1.265,1.302,0.836
Interest Expense,227000000.0,177000000.0,152000000.0,137000000.0
Tax Provision,443000000.0,379000000.0,348000000.0,401000000.0
