,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,8200500000.0,7546000000.0,7346700000.0,6980600000.0
Gross Profit,3691200000.0,3401900000.0,3354500000.0,3215800000.0
Operating Income,1655700000.0,1510000000.0,1528700000.0,1453600000.0
EBIT,1661200000.0,1515400000.0,1532800000.0,1454300000.0
EBITDA,1840400000.0,1690800000.0,1710100000.0,1630900000.0
Pretax Income,1655000000.0,1508100000.0,1522000000.0,1440000000.0
Net Income,1258400000.0,1150600000.0,1155000000.0,1086900000.0
Diluted EPS,1.09,1.0,1.01,0.945
Interest Expense,6200000.0,7300000.0,10800000.0,14300000.0
Tax Provision,396600000.0,357500000.0,367000000.0,353100000.0
