,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Total Revenue,2321748000.0,2203056000.0,2085508000.0,1843892000.0
Gross Profit,1223966000.0,1191111000.0,1112283000.0,972786000.0
Operating Income,748303000.0,701299000.0,629207000.0,539754000.0
EBIT,777282000.0,717281000.0,650273000.0,479291000.0
EBITDA,965955000.0,872875000.0,788001000.0,609006000.0
Pretax Income,720958000.0,651503000.0,583954000.0,443594000.0
Net Income,597040000.0,537126000.0,468173000.0,396917000.0
Diluted EPS,15.55,13.91,12.03,10.25
Interest Expense,56324000.0,65778000.0,66319000.0,35697000.0
Tax Provision,123918000.0,114377000.0,115781000.0,46677000.0
