,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Total Revenue,,368500000.0,364400000.0,344300000.0,311100000.0
Gross Profit,,138400000.0,117000000.0,118800000.0,130900000.0
Operating Income,,32800000.0,20800000.0,30600000.0,55600000.0
EBIT,,36100000.0,22800000.0,31400000.0,55900000.0
EBITDA,,45700000.0,30800000.0,37200000.0,60600000.0
Pretax Income,,35500000.0,22200000.0,31000000.0,55600000.0
Net Income,,24400000.0,15400000.0,24900000.0,44600000.0
Diluted EPS,0.1862,0.2085,0.1318,0.2132,
Interest Expense,,600000.0,600000.0,400000.0,300000.0
Tax Provision,,11100000.0,6800000.0,6100000.0,11000000.0
