,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,10677000000.0,10127000000.0,9831000000.0,9720000000.0
Gross Profit,3936000000.0,3804000000.0,3656000000.0,3461000000.0
Operating Income,1759000000.0,1761000000.0,1560000000.0,1279000000.0
EBIT,1567000000.0,1648000000.0,1375000000.0,1196000000.0
EBITDA,3450000000.0,3385000000.0,3119000000.0,3074000000.0
Pretax Income,1176000000.0,1297000000.0,662000000.0,898000000.0
Net Income,382000000.0,1450000000.0,-6655000000.0,-16752000000.0
Diluted EPS,0.73,2.61,-11.26,-27.68
Interest Expense,391000000.0,351000000.0,713000000.0,298000000.0
Tax Provision,265000000.0,362000000.0,157000000.0,314000000.0
