,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,21193000000.0,20456000000.0,19093000000.0,17737000000.0
Gross Profit,12581000000.0,12443000000.0,11423000000.0,9745000000.0
Operating Income,5698000000.0,5879000000.0,4847000000.0,3686000000.0
EBIT,5795000000.0,5744000000.0,4902000000.0,3659000000.0
EBITDA,8956000000.0,8839000000.0,8023000000.0,6828000000.0
Pretax Income,4264000000.0,4506000000.0,3898000000.0,2913000000.0
Net Income,3480000000.0,3131000000.0,3068000000.0,2530000000.0
Diluted EPS,6.34,5.38,4.98,3.91
Interest Expense,1531000000.0,1238000000.0,1004000000.0,746000000.0
Tax Provision,811000000.0,641000000.0,754000000.0,551000000.0
