,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4159100000.0,4080900000.0,3913900000.0,5825700000.0
Gross Profit,2641100000.0,2619100000.0,2477100000.0,3363400000.0
Operating Income,720200000.0,716300000.0,574000000.0,1005300000.0
EBIT,722700000.0,659100000.0,556600000.0,971800000.0
EBITDA,1160300000.0,1090000000.0,982800000.0,1437400000.0
Pretax Income,602200000.0,506300000.0,433100000.0,873500000.0
Net Income,579200000.0,832900000.0,865800000.0,755200000.0
Diluted EPS,1.73,2.36,2.43,2.1
Interest Expense,120500000.0,152800000.0,123500000.0,98300000.0
Tax Provision,69500000.0,23800000.0,24700000.0,118300000.0
