,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,739200000.0,788200000.0,788900000.0,825400000.0
Gross Profit,329000000.0,354400000.0,388300000.0,434700000.0
Operating Income,139400000.0,140700000.0,189200000.0,206500000.0
EBIT,118500000.0,131100000.0,171100000.0,185900000.0
EBITDA,189800000.0,214700000.0,250900000.0,266300000.0
Pretax Income,91900000.0,103200000.0,138100000.0,170000000.0
Net Income,66300000.0,76800000.0,113400000.0,122200000.0
Diluted EPS,0.621,0.668,0.941,1.009
Interest Expense,26600000.0,27900000.0,33000000.0,15900000.0
Tax Provision,25600000.0,26400000.0,24700000.0,47800000.0
