,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,672800000.0,668800000.0,689700000.0,593400000.0
Gross Profit,,178700000.0,187500000.0,147900000.0
Operating Income,42400000.0,6400000.0,44000000.0,51400000.0
EBIT,49000000.0,26800000.0,53700000.0,54100000.0
EBITDA,93700000.0,73700000.0,97300000.0,93100000.0
Pretax Income,28500000.0,5500000.0,39400000.0,48400000.0
Net Income,19300000.0,7900000.0,33300000.0,40900000.0
Diluted EPS,0.246,0.119,0.505,0.622
Interest Expense,20500000.0,21300000.0,14300000.0,5700000.0
Tax Provision,,3100000.0,7600000.0,11700000.0
