,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,7705878000.0,7735970000.0,7379784000.0,8975515000.0
Gross Profit,5592497000.0,5702499000.0,5311489000.0,5196898000.0
Operating Income,1471866000.0,1701366000.0,1452358000.0,1672320000.0
EBIT,1909762000.0,2133192000.0,1426580000.0,673755000.0
EBITDA,3325139000.0,3995523000.0,3203272000.0,2336210000.0
Pretax Income,1260119000.0,1530316000.0,781662000.0,224322000.0
Net Income,1400107000.0,1570365000.0,986233000.0,111493000.0
Diluted EPS,5.78,6.16,3.77,0.4
Interest Expense,649643000.0,602876000.0,644918000.0,449433000.0
Tax Provision,251557000.0,241513000.0,186517000.0,166694000.0
