,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2151200000.0,2014400000.0,1809600000.0,1512800000.0
Gross Profit,1322100000.0,1243600000.0,1099100000.0,938300000.0
Operating Income,187500000.0,195300000.0,171700000.0,154400000.0
EBIT,184700000.0,217800000.0,198600000.0,155800000.0
EBITDA,345300000.0,357800000.0,323600000.0,271300000.0
Pretax Income,167400000.0,203900000.0,188300000.0,148300000.0
Net Income,122200000.0,153400000.0,142500000.0,120300000.0
Diluted EPS,1.193,1.496,1.392,1.175
Interest Expense,17300000.0,13900000.0,10300000.0,7500000.0
Tax Provision,45200000.0,50500000.0,45800000.0,28000000.0
