,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,17942000000.0,17168000000.0,16478000000.0,15228000000.0
Gross Profit,7009000000.0,6758000000.0,6496000000.0,5849000000.0
Operating Income,2495000000.0,2637000000.0,2565000000.0,2215000000.0
EBIT,2511000000.0,2661000000.0,2593000000.0,2239000000.0
EBITDA,2765000000.0,2898000000.0,2807000000.0,2444000000.0
Pretax Income,2430000000.0,2584000000.0,2500000000.0,2146000000.0
Net Income,1706000000.0,1909000000.0,1829000000.0,1547000000.0
Diluted EPS,35.4,38.71,36.23,30.06
Interest Expense,81000000.0,77000000.0,93000000.0,93000000.0
Tax Provision,622000000.0,595000000.0,597000000.0,533000000.0
