,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1837173000.0,1715682000.0,1671389000.0,1690176000.0
Gross Profit,239405000.0,228090000.0,214746000.0,193311000.0
Operating Income,55800000.0,53271000.0,47974000.0,43789000.0
EBIT,69446000.0,59379000.0,60912000.0,47540000.0
EBITDA,86224000.0,73964000.0,75256000.0,62856000.0
Pretax Income,67866000.0,52941000.0,53056000.0,44553000.0
Net Income,59059000.0,39471000.0,38386000.0,34243000.0
Diluted EPS,0.81,0.53,0.52,0.47
Interest Expense,1580000.0,6438000.0,7856000.0,2987000.0
Tax Provision,8807000.0,13470000.0,14670000.0,10310000.0
