,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1169911933.424901,1072965681.661334,1057083529.726493,885987099.27267
Gross Profit,476017343.998276,428885124.537298,403444629.867896,327358981.496049
Operating Income,161724704.424874,144802057.845536,145352170.091339,95000665.609759
EBIT,161590046.053163,144927536.231884,132103593.676353,92701286.442134
EBITDA,219089170.773747,198004893.657068,181276194.601205,136510510.583195
Pretax Income,149874767.714309,131124913.733609,118727627.10353,83866829.640208
Net Income,111093156.66155,95865487.169835,87644428.591447,68618315.16017
Diluted EPS,1.368129,1.178242,1.082816,0.85198
Interest Expense,11715278.338854,13802622.498275,13375966.572823,8834456.801927
Tax Provision,38781611.052759,35259426.563774,31083198.512083,21178492.333386
