,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,2582300000.0,2248100000.0,2034100000.0,1852800000.0
Gross Profit,1286900000.0,1133600000.0,1003800000.0,922900000.0
Operating Income,525800000.0,409500000.0,367700000.0,308400000.0
EBIT,525500000.0,417000000.0,369900000.0,309000000.0
EBITDA,656500000.0,537300000.0,475500000.0,410600000.0
Pretax Income,490700000.0,384300000.0,340300000.0,291500000.0
Net Income,372300000.0,296400000.0,268800000.0,234500000.0
Diluted EPS,0.9817,0.7814,0.7096,0.6186
Interest Expense,34800000.0,32700000.0,29600000.0,17500000.0
Tax Provision,118400000.0,87900000.0,71500000.0,57200000.0
