,2025-10-31,2024-10-31,2023-10-31,2022-10-31
Total Revenue,12106160000.0,11920797000.0,12110010000.0,12458806000.0
Gross Profit,1891816000.0,2022138000.0,1999841000.0,2164686000.0
Operating Income,895192000.0,1016844000.0,1057674000.0,1285421000.0
EBIT,741487000.0,1116328000.0,1086874000.0,1340618000.0
EBITDA,1005388000.0,1374084000.0,1340185000.0,1576503000.0
Pretax Income,663449000.0,1035434000.0,1013472000.0,1278103000.0
Net Income,478197000.0,805038000.0,793572000.0,999987000.0
Diluted EPS,0.87,1.47,1.45,1.82
Interest Expense,78038000.0,80894000.0,73402000.0,62515000.0
Tax Provision,185684000.0,230803000.0,220552000.0,277877000.0
