,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,12640000000.0,11761000000.0,9903000000.0,9636000000.0
Gross Profit,7098000000.0,6522000000.0,5659000000.0,5202000000.0
Operating Income,4999000000.0,4413000000.0,3963000000.0,3731000000.0
EBIT,5149000000.0,4538000000.0,3702000000.0,2424000000.0
EBITDA,6709000000.0,6075000000.0,4917000000.0,3455000000.0
Pretax Income,4346000000.0,3628000000.0,2894000000.0,1808000000.0
Net Income,3315000000.0,2754000000.0,2368000000.0,1446000000.0
Diluted EPS,5.77,4.78,4.19,2.58
Interest Expense,803000000.0,910000000.0,808000000.0,616000000.0
Tax Provision,976000000.0,826000000.0,456000000.0,310000000.0
