,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4303702000.0,3897504000.0,3660953000.0,3367324000.0
Gross Profit,2659579000.0,2378927000.0,2189970000.0,2004338000.0
Operating Income,1360031000.0,1128337000.0,1097128000.0,898765000.0
EBIT,1363041000.0,1141036000.0,1102757000.0,899830000.0
EBITDA,1508224000.0,1270972000.0,1217665000.0,1011730000.0
Pretax Income,1324189000.0,1109831000.0,1061176000.0,859972000.0
Net Income,1059464000.0,887867000.0,845042000.0,679089000.0
Diluted EPS,13.08,10.67,10.06,8.03
Interest Expense,38852000.0,31205000.0,41581000.0,39858000.0
Tax Provision,264725000.0,221964000.0,216134000.0,180883000.0
