,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,3457500000.0,3268800000.0,3273900000.0,3181900000.0
Gross Profit,1538800000.0,1445200000.0,1446900000.0,1426900000.0
Operating Income,720000000.0,686500000.0,743400000.0,774200000.0
EBIT,697000000.0,683800000.0,812000000.0,790100000.0
EBITDA,903500000.0,859400000.0,964100000.0,909800000.0
Pretax Income,632600000.0,639300000.0,760300000.0,749400000.0
Net Income,483200000.0,505000000.0,596100000.0,586900000.0
Diluted EPS,6.41,6.64,7.85,7.71
Interest Expense,64400000.0,44500000.0,51700000.0,40700000.0
Tax Provision,150100000.0,134700000.0,164700000.0,162700000.0
