,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2304000000.0,2210000000.0,2196000000.0,2049000000.0
Gross Profit,1093400000.0,1044600000.0,1012300000.0,936900000.0
Operating Income,422400000.0,356200000.0,318600000.0,298200000.0
EBIT,446600000.0,354900000.0,333200000.0,309200000.0
EBITDA,560000000.0,473900000.0,457600000.0,431400000.0
Pretax Income,418500000.0,330400000.0,302400000.0,285400000.0
Net Income,309900000.0,248500000.0,237300000.0,226300000.0
Diluted EPS,1.238,0.956,0.912,0.872
Interest Expense,28100000.0,24500000.0,30800000.0,23800000.0
Tax Provision,108600000.0,81900000.0,65100000.0,59100000.0
