,2025-07-31,2024-07-31,2023-07-31,2022-07-31
Total Revenue,18831000000.0,16285000000.0,14368000000.0,12726000000.0
Gross Profit,14983000000.0,12820000000.0,11225000000.0,10320000000.0
Operating Income,4938000000.0,3853000000.0,3141000000.0,2559000000.0
EBIT,5081000000.0,3792000000.0,3237000000.0,2623000000.0
EBITDA,5890000000.0,4581000000.0,4043000000.0,3369000000.0
Pretax Income,4834000000.0,3550000000.0,2989000000.0,2542000000.0
Net Income,3869000000.0,2963000000.0,2384000000.0,2066000000.0
Diluted EPS,13.67,10.43,8.42,7.28
Interest Expense,247000000.0,242000000.0,248000000.0,81000000.0
Tax Provision,965000000.0,587000000.0,605000000.0,476000000.0
