,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,16310000000.0,15405000000.0,14984000000.0,14410000000.0
Gross Profit,5430000000.0,5375000000.0,5239000000.0,5028000000.0
Operating Income,2287000000.0,2269000000.0,2061000000.0,1827000000.0
EBIT,2320000000.0,2339000000.0,2131000000.0,1779000000.0
EBITDA,3464000000.0,3453000000.0,3256000000.0,2909000000.0
Pretax Income,1591000000.0,1669000000.0,1459000000.0,1363000000.0
Net Income,1360000000.0,1373000000.0,1358000000.0,1091000000.0
Diluted EPS,7.84,7.49,7.29,5.72
Interest Expense,729000000.0,670000000.0,672000000.0,416000000.0
Tax Provision,252000000.0,301000000.0,101000000.0,260000000.0
