,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6497226000.0,6267411000.0,5906956000.0,5475846000.0
Gross Profit,4443651000.0,4244389000.0,4003716000.0,3782075000.0
Operating Income,1175711000.0,1157260000.0,1111071000.0,1109185000.0
EBIT,1093395000.0,1518420000.0,1279901000.0,1153398000.0
EBITDA,1293704000.0,1720735000.0,1471004000.0,1345344000.0
Pretax Income,968118000.0,1387374000.0,1147129000.0,1027195000.0
Net Income,729231000.0,1253715000.0,882466000.0,807799000.0
Diluted EPS,9.65,16.0,11.08,9.96
Interest Expense,125277000.0,131046000.0,132772000.0,126203000.0
Tax Provision,238887000.0,133659000.0,264663000.0,219396000.0
