,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,2375288000.0,2215543000.0,2077702000.0,1942884000.0
Gross Profit,1014541000.0,916066000.0,858640000.0,814270000.0
Operating Income,568715000.0,489391000.0,480688000.0,474619000.0
EBIT,596474000.0,514403000.0,489647000.0,474651000.0
EBITDA,801225000.0,714307000.0,680373000.0,652275000.0
Pretax Income,586036000.0,498019000.0,474574000.0,472267000.0
Net Income,455748000.0,381816000.0,366646000.0,362916000.0
Diluted EPS,6.24,5.23,5.02,4.94
Interest Expense,10438000.0,16384000.0,15073000.0,2384000.0
Tax Provision,130288000.0,116203000.0,107928000.0,109351000.0
