,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,24942000000.0,25846000000.0,26640000000.0,26485000000.0
Gross Profit,8309000000.0,8968000000.0,8926000000.0,8122000000.0
Operating Income,4637000000.0,5352000000.0,5234000000.0,4547000000.0
EBIT,-4498000000.0,1768000000.0,4545000000.0,3887000000.0
EBITDA,-3530000000.0,2716000000.0,5506000000.0,4820000000.0
Pretax Income,-5445000000.0,856000000.0,3633000000.0,2966000000.0
Net Income,-5846000000.0,2744000000.0,2855000000.0,2363000000.0
Diluted EPS,-4.93,2.26,2.31,1.91
Interest Expense,947000000.0,912000000.0,912000000.0,921000000.0
Tax Provision,403000000.0,-1890000000.0,787000000.0,598000000.0
