,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,47941000000.0,47061000000.0,45754000000.0,43004000000.0
Gross Profit,29544000000.0,28737000000.0,27234000000.0,25004000000.0
Operating Income,14911000000.0,14022000000.0,13098000000.0,12042000000.0
EBIT,17652000000.0,14742000000.0,14479000000.0,12568000000.0
EBITDA,18702000000.0,15817000000.0,15607000000.0,13828000000.0
Pretax Income,15998000000.0,13086000000.0,12952000000.0,11686000000.0
Net Income,13107000000.0,10631000000.0,10714000000.0,9542000000.0
Diluted EPS,3.04,2.46,2.47,2.19
Interest Expense,1654000000.0,1656000000.0,1527000000.0,882000000.0
Tax Provision,2861000000.0,2437000000.0,2249000000.0,2115000000.0
