,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,9346000000.0,8858000000.0,8379000000.0,7743000000.0
Gross Profit,8233000000.0,7685000000.0,7236000000.0,6679000000.0
Operating Income,2170000000.0,1370000000.0,1661000000.0,1640000000.0
EBIT,2293000000.0,1597000000.0,1479000000.0,1419000000.0
EBITDA,4531000000.0,4079000000.0,3622000000.0,3319000000.0
Pretax Income,1969000000.0,1258000000.0,1195000000.0,1241000000.0
Net Income,1249000000.0,685000000.0,761000000.0,1303000000.0
Diluted EPS,2.37,1.28,1.381,2.325
Interest Expense,324000000.0,339000000.0,284000000.0,178000000.0
Tax Provision,463000000.0,337000000.0,247000000.0,262000000.0
