,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,32791000000.0,28167000000.0,25098000000.0,22237000000.0
Gross Profit,25540000000.0,21494000000.0,19076000000.0,16974000000.0
Operating Income,19514000000.0,16327000000.0,14630000000.0,12722000000.0
EBIT,19300000000.0,15900000000.0,14214000000.0,12203000000.0
EBITDA,20443000000.0,16797000000.0,15013000000.0,12953000000.0
Pretax Income,18578000000.0,15254000000.0,13639000000.0,11732000000.0
Net Income,14968000000.0,12874000000.0,11195000000.0,9930000000.0
Diluted EPS,16.52,13.89,11.83,10.22
Interest Expense,722000000.0,646000000.0,575000000.0,471000000.0
Tax Provision,3610000000.0,2380000000.0,2444000000.0,1802000000.0
