,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,7718000000.0,7088000000.0,5916000000.0,5468000000.0
Gross Profit,5745000000.0,5143000000.0,4229000000.0,3855000000.0
Operating Income,3462000000.0,2977000000.0,2224000000.0,1997000000.0
EBIT,3411000000.0,3038000000.0,2257000000.0,2006000000.0
EBITDA,3891000000.0,3469000000.0,2630000000.0,2337000000.0
Pretax Income,3130000000.0,2699000000.0,1935000000.0,1760000000.0
Net Income,2459000000.0,2058000000.0,1607000000.0,1374000000.0
Diluted EPS,13.67,11.26,8.73,7.44
Interest Expense,281000000.0,339000000.0,322000000.0,246000000.0
Tax Provision,668000000.0,640000000.0,327000000.0,386000000.0
